fipscounty,pred,predict_date,k
6099,17745.549251429635,2020-10-24,14
6099,17624.201616657818,2020-10-23,14
6099,17628.024270570477,2020-10-22,14
6099,17542.708354745442,2020-10-21,14
6099,17506.620044877665,2020-10-20,14
6099,17501.880641180807,2020-10-19,14
6099,17482.640835192356,2020-10-18,14
6099,17450.19933272395,2020-10-17,14
6099,17372.616328204964,2020-10-16,14
6099,17316.594003710194,2020-10-15,14
6099,17253.69002658984,2020-10-14,14
6099,17239.765145227684,2020-10-13,14
6099,17216.536546116553,2020-10-12,14
6099,17199.9067481771,2020-10-11,14
6099,17194.1787050334,2020-10-10,14
6099,17208.36199626606,2020-10-09,14
6099,17194.85175823803,2020-10-08,14
6099,17187.725210098208,2020-10-07,14
6099,17161.528682148408,2020-10-06,14
6099,17114.807021248453,2020-10-05,14
6099,17084.54945767493,2020-10-04,14
6099,17057.161982626945,2020-10-03,14
6099,16996.70273817135,2020-10-02,14
6099,16915.457900358848,2020-10-01,14
6099,16839.991259281393,2020-09-30,14
6099,16816.647551957645,2020-09-29,14
6099,16790.1725300816,2020-09-28,14
6099,16688.294614954444,2020-09-27,14
6099,16693.505537961144,2020-09-26,14
6099,16602.046628622735,2020-09-25,14
6099,16510.236430719535,2020-09-24,14
6099,16444.218233765278,2020-09-23,14
6099,16393.78256783201,2020-09-22,14
6099,16186.909279637892,2020-09-21,14
6099,16128.03722640164,2020-09-20,14
6099,16018.889949964923,2020-09-19,14
6099,15897.477327523822,2020-09-18,14
6099,15748.843556310287,2020-09-17,14
6099,15624.32261510219,2020-09-16,14
6099,15501.833771599877,2020-09-15,14
6099,15422.748380028033,2020-09-14,14
6099,15246.633029587478,2020-09-13,14
6099,14937.737626611834,2020-09-12,14
6099,14771.75225074512,2020-09-11,14
6099,14777.108507539004,2020-09-10,14
6099,14546.413547824512,2020-09-09,14
6099,14151.195152192347,2020-09-08,14
6099,14113.108273740387,2020-09-07,14
6099,14006.575713169661,2020-09-06,14
6099,13904.212391234385,2020-09-05,14
6099,13731.697218705978,2020-09-04,14
6099,13696.17480271249,2020-09-03,14
6099,13537.130294414384,2020-09-02,14
6099,13333.152253282697,2020-09-01,14
6099,13252.447623973463,2020-08-31,14
6099,13117.886150568098,2020-08-30,14
6099,12945.790310210654,2020-08-29,14
6099,12484.060723368248,2020-08-28,14
6099,12192.057264390462,2020-08-27,14
6099,12098.093850365376,2020-08-26,14
6099,11296.343453904969,2020-08-25,14
6099,10655.389347190729,2020-08-24,14
6099,10333.155893570734,2020-08-23,14
6099,10014.664969436173,2020-08-22,14
6099,9911.628282439486,2020-08-21,14
6099,9744.644615163863,2020-08-20,14
6099,9694.626198527238,2020-08-19,14
6099,9642.250155214966,2020-08-18,14
6099,9611.431431773975,2020-08-17,14
6099,9554.629962400708,2020-08-16,14
6099,9386.146746267299,2020-08-15,14
6099,9204.877810459559,2020-08-14,14
6099,9050.607531518568,2020-08-13,14
