date,county,arima.pred,arima.w,ma.pred,ma.w,clep
2020-10-02,55075,8.217391304347826,0.5000229404861238,8.85033293660359,0.4999770595138762,8.533847600486975
2020-10-03,55075,8.216216216215969,0.5046615969362666,8.85033293660359,0.49533840306373345,8.530318579848785
2020-10-04,55075,8.215053763440844,0.506954869345295,8.85033293660359,0.49304513065470496,8.528275066375082
2020-10-05,55075,8.213903743315527,0.5080758836281561,8.85033293660359,0.49192411637184374,8.526978611857
2020-10-06,55075,8.212765957446825,0.5086111238799664,8.85033293660359,0.4913888761200335,8.526059278785912
2020-10-07,55075,8.211640211639805,0.5178269542956013,8,0.4821730457043986,8.109593006199916
2020-10-08,55075,9.236842105263165,0.5224566402823692,9.832787482013746,0.47754335971763084,9.521431862684826
2020-10-09,55075,9.235602094240578,0.5247234176853384,9.832787482013746,0.47527658231466163,9.519430324349665
2020-10-10,55075,9.234374999999831,0.49876618559355923,9.832787482013746,0.5012338144064409,9.534319570948092
2020-10-11,55075,9.233160621761607,0.48575618374961915,9.832787482013746,0.5142438162503808,9.541515026703902
2020-10-12,55075,9.231958762886496,0.47923247591963997,9.832787482013746,0.5207675240803601,9.544850847342769
2020-10-13,55075,9.230769230769315,0.4759485763242619,9.832787482013746,0.5240514236757381,9.546257752412737
2020-10-14,55075,9.229591836734777,0.49250626031699823,9.832787482013746,0.5074937396830017,9.535709850517902
2020-10-15,55075,9.228426395939417,0.5082102808757597,9,0.4917897191242404,9.11608864283981
2020-10-16,55075,9.227272727272975,0.5160834268823503,9,0.48391657311764974,9.117291687927935
2020-10-17,55075,9.226130653266218,0.5202539294025696,9,0.47974607059743035,9.11764536092012
2020-10-18,55075,9.225000000000005,0.5223632839334,9,0.47763671606659996,9.117531738885017
2020-10-19,55075,9.223880597015008,0.523442529456982,9,0.47655747054301806,9.117188625997876
2020-10-20,55075,9.222772277227804,0.5240066772172225,9,0.47599332278277756,9.116734160766256
2020-10-21,55075,9.221674876847292,0.5241703303394453,9,0.47582966966055473,9.116195393425
2020-10-22,55075,9.220588235294167,0.5072707666704637,9,0.4927292333295363,9.111897963236157
2020-10-23,55075,9.219512195121473,0.49883586587893347,9,0.5011641341210665,9.109500555924406
2020-10-24,55075,10.242718446602108,0.49464166312181984,10.819249165838098,0.5053583368781802,10.53407305203439
2020-10-25,55075,11.265700483092049,0.49256787291412263,12.761843716800122,0.5074321270858774,12.024891626597679
2020-10-26,55075,11.264423076922817,0.5008241573285818,12.761843716800122,0.4991758426714181,12.011899286667145
2020-10-27,55075,11.263157894736757,0.504929414750046,12.761843716800122,0.495070585249954,12.005113161771476
2020-10-28,55075,11.26190476190483,0.5069590586512922,12.761843716800122,0.4930409413487077,12.001436076192
2020-10-29,55075,11.260663507109088,0.508083764285173,12.761843716800122,0.49191623571482707,11.999118424989897
2020-10-30,55075,11.259433962264149,0.5086237599779173,12.761843716800122,0.49137624002208263,11.997682418420535
2020-10-31,55075,11.258215962440811,0.4932445480883024,11.808486262271668,0.5067554519116977,11.537068436905184
2020-11-01,55075,12.280373831775718,0.5236321726160313,12.79972484189473,0.47636782738396866,12.527775944115781
2020-11-02,55075,13.763358394488911,0.5387260820061822,14.70054348960933,0.46127391799381784,14.195657435200516
2020-11-03,55075,15.17449273338199,0.5193851295063783,16.698479343099496,0.4806148704936217,15.906943360445384
2020-11-04,55075,14.86320664780143,0.4826065703900012,16.698479343099496,0.5173934296099988,15.812764681891283
2020-11-05,55075,18.79425923112031,0.4642401145210348,21.039415181828875,0.5357598854789651,19.99712372615435
2020-11-06,55075,18.046421592279195,0.45506747396584507,21.039415181828875,0.544932526034155,19.677401149436538
2020-11-07,55075,17.6828663933331,0.46747803857548975,21.039415181828875,0.5325219614245104,19.470302337799936
2020-11-08,55075,20.990205938303596,0.4743609323994892,24.220046677378015,0.5256390676005109,22.687936412888824
2020-11-09,55075,20.824829984630078,0.4714606202623587,22.891609507770898,0.5285393797376413,21.917204351845385
2020-11-10,55075,20.062155525064675,0.4619219081324154,21.717719326246147,0.5380780918675846,20.952978136169445
2020-11-11,55075,21.576926471068653,0.4523932968080042,23.81392297740987,0.5476067031919958,22.80192075295818
2020-11-12,55075,21.372754448054174,0.5077902469289468,21.58010901211479,0.49220975307105325,21.474816386828607
2020-11-13,55075,20.898655766582316,0.5187464714744863,21.58010901211479,0.48125352852551373,21.226607545519983
2020-11-14,55075,20.726830242049466,0.5187200477780021,21.58010901211479,0.48127995222199804,21.13749620773855
2020-11-15,55075,22.00441428205643,0.5517351576293841,21.594047857109157,0.448264842370616,21.820461441263248
2020-11-16,55075,21.824406628821826,0.5535128988525438,21.594047857109157,0.44648710114745627,21.72155440861595
2020-11-17,55075,21.679805004743216,0.5495262940573397,21.594047857109157,0.4504737059426604,21.641173664637428
