date,county,model3.pred,model3.w,model2.pred,model2.w,clep
2020-09-21,55075,679.559020311296,0.4088535267464574,709.4000000000002,0.5911464732535425,697.199410212704
2020-09-20,55075,678.6053109041933,0.408922100352732,718.1000000000003,0.591077899647268,701.9497487821648
2020-09-19,55075,669.5590673326719,0.4239354605601984,692.2,0.5760645394398016,682.6017057821639
2020-09-18,55075,664.559558113627,0.4280897678697523,678.5999999999998,0.5719102321302476,672.5894304920737
2020-09-17,55075,656.5044853067226,0.444084224632402,663.1999999999998,0.555915775367598,660.226627548921
2020-09-16,55075,656.5232200904322,0.4604431011868118,678.3999999999999,0.5395568988131882,668.3269876144573
2020-09-15,55075,652.5152541357168,0.4661275429671307,674.4,0.5338724570328692,664.1989171818216
2020-09-14,55075,650.5524100524096,0.5114081587386082,670.4,0.4885918412613917,660.2497805695039
2020-09-13,55075,642.5291487563455,0.5760025146307602,664.3000000000002,0.42399748536923976,651.7599349380029
2020-09-12,55075,640.5677553830587,0.5139212662630106,663.1,0.4860787337369895,651.5202003147137
2020-09-11,55075,636.5529204847602,0.436489521759604,654.5999999999998,0.5635104782403961,646.7226388932354
2020-09-10,55075,629.5041393083885,0.3875055765846968,644.4000000000002,0.6124944234153031,638.6277709139719
2020-09-09,55075,627.5398441350624,0.41382331498525815,636.8,0.5861766850147418,632.9679316026914
2020-09-08,55075,623.527733254132,0.4131155271258337,639.6000000000003,0.5868844728741662,632.9602970511739
2020-09-07,55075,619.5225424716868,0.41145774190193257,651.6000000000001,0.5885422580980675,638.4014817594452
2020-09-06,55075,619.5613494922798,0.45320400594484217,675.2,0.5467959940551579,649.9843407045362
2020-09-05,55075,611.5533651931207,0.42024778360464615,669.5999999999998,0.5797522163953537,645.2060303767005
2020-09-04,55075,603.4758203436764,0.3446390899254231,648.0000000000002,0.655360910074577,632.6552272435688
2020-09-03,55075,591.3596711129859,0.3525243451733738,619.5000000000002,0.6474756548266263,609.5798489861422
2020-09-02,55075,583.2935633476515,0.34049922913054403,600.2999999999998,0.6595007708694559,594.5093214296178
2020-09-01,55075,579.2872908419948,0.312763407421136,596.3,0.6872365925788638,590.9790471142774
2020-08-31,55075,574.2163043943001,0.32336108176362127,619.9,0.6766389182363788,605.1276707699809
2020-08-30,55075,572.2613205934427,0.37370982894262383,646.0000000000002,0.6262901710573762,618.4431307325207
2020-08-29,55075,567.2562667521327,0.3729616349800102,637.7000000000002,0.6270383650199898,611.4271900737798
2020-08-28,55075,551.097871158229,0.2755176958619796,604.5999999999998,0.7244823041380204,589.8592167378044
2020-08-27,55075,538.9712028454398,0.16840169862893772,598.5999999999999,0.8315983013710624,588.5584092719716
2020-08-26,55075,531.935284920604,0.16636300669203125,590.7,0.8336369933079688,580.9237253119912
2020-08-25,55075,522.8568950383251,0.183687447983512,577.8,0.8163125520164879,567.7076412652996
2020-08-24,55075,509.7113469529965,0.14765532454751762,554.6000000000001,0.8523446754524824,547.9719513658439
2020-08-23,55075,503.7223720752433,0.1323117020117944,599.3999999999999,0.8676882979882057,586.7407302048242
2020-08-22,55075,493.64556596835934,0.1464236121845217,621.9,0.8535763878154782,603.1205224904056
2020-08-21,55075,487.6121553870817,0.17804685279425542,582.2999999999998,0.8219531472057445,565.4411272687983
2020-08-20,55075,457.2491078123622,0.183566263382671,527.9000000000001,0.8164337366173291,514.9308797164636
2020-08-19,55075,440.03245711419095,0.1570539671664603,529.7,0.8429460328335396,515.617356663715
2020-08-18,55075,440.0820574353491,0.1801244436774021,534.6,0.8198755563225978,517.5750081780096
2020-08-17,55075,418.80080670844137,0.2132619921978256,488.30000000000007,0.7867380078021744,473.47846358250047
2020-08-16,55075,402.6213096282212,0.15658133751514905,487.29999999999995,0.8434186624848509,474.04089740255563
2020-08-15,55075,394.56077849554606,0.12218075902811541,478.6,0.8778192409718846,468.3320241284539
2020-08-14,55075,383.45368805814303,0.14642524025275472,447.8000000000001,0.8535747597472453,438.378075814535
2020-08-13,55075,363.19668264064796,0.12482014818244934,415.2999999999999,0.8751798518175506,408.79645620640844
2020-08-12,55075,357.12993895452,0.14641620935576452,433.1,0.8535837906442354,421.9767516371948
2020-08-11,55075,349.0383789248915,0.16891841394327098,447.2999999999999,0.8310815860567291,430.70180281649795
2020-08-10,55075,337.8927756697091,0.15222841619419206,450.5000000000001,0.8477715838058079,433.3579805881758
2020-08-09,55075,321.6959726148052,0.13793807418452478,416.2000000000001,0.8620619258154752,403.16429645980475
2020-08-08,55075,304.4791709766614,0.1725769320006709,388.0999999999999,0.8274230679993291,373.66897387579945
2020-08-07,55075,286.2342096146271,0.2065477035186952,342.5000000000001,0.7934522964813048,330.8784302092371
2020-08-06,55075,278.12698733959803,0.1944516022743781,357.70000000000005,0.8055483977256219,342.22690019038555
2020-08-05,55075,262.90514780103257,0.24858323170357585,329.6,0.7514167682964241,313.02077810238836
2020-08-04,55075,260.87061190317996,0.22756090949519334,310.80000000000007,0.7724390905048066,299.4380230341492
2020-08-03,55075,237.53863124586402,0.20449705752865863,289.69999999999993,0.7955029424713415,279.03315357311186
2020-08-02,55075,236.52428449024583,0.12812403629963426,305.99999999999994,0.8718759637003658,297.09849090408517
2020-08-01,55075,231.486092065033,0.1405297545543736,289.6,0.8594702454456264,281.43326678170365
2020-07-31,55075,213.211510822812,0.13504119052623242,252.3,0.8649588094737676,247.0214438856408
2020-07-30,55075,207.12616032495637,0.0987673787056004,260.69999999999993,0.9012326212943996,255.4086522881018
2020-07-29,55075,201.044207329168,0.10477986275581705,284.8,0.8952201372441829,276.02407953894556
2020-07-28,55075,193.94459664551255,0.10931908964257854,285.8,0.8906809103574216,275.75845092653566
2020-07-27,55075,181.770535570934,0.15506933593637734,261.3999999999999,0.8449306640636226,249.05191183001529
2020-07-26,55075,163.47083745317067,0.16429001607632868,219.8,0.8357099839236714,210.54568097961527
2020-07-25,55075,153.3208319805123,0.22266963423934263,200.50000000000006,0.7773303657606573,189.9946319133842
