"","date","county","model3.pred","model3.w","model2.pred","model2.w","clep"
"1220",2020-05-19,6085,2481.95494068643,0.523067139811501,2477.8,0.476932860188499,2479.97331294094
"1221",2020-05-18,6085,2472.90886235271,0.522582712478097,2453.1,0.477417287521902,2463.45176901938
"1222",2020-05-17,6085,2457.11126703986,0.486686226448924,2450.2,0.513313773551076,2453.56361847561
"1223",2020-05-16,6085,2435.09161233467,0.465331452889774,2439.5,0.534668547110226,2437.44863856279
"1224",2020-05-15,6085,2434.78447999558,0.478502015061353,2428.4,0.521497984938647,2431.454986543
"1225",2020-05-14,6085,2404.44667244262,0.507603846572315,2368.4,0.492396153427685,2386.69742958801
"1226",2020-05-13,6085,2389.18108010676,0.496849480860488,2350.2,0.503150519139512,2369.56772941442
"1227",2020-05-12,6085,2382.52571186756,0.489109609774602,2342.6,0.510890390225398,2362.12804935152
"1228",2020-05-11,6085,2371.76158050496,0.476847303507119,2328.8,0.523152696492881,2349.28611381819
"1229",2020-05-10,6085,2360.90793454847,0.491595347942064,2341.4,0.508404652057936,2350.99000987199
"1230",2020-05-09,6085,2351.4375340903,0.546017878704531,2358.8,0.453982121295469,2354.77996198195
"1231",2020-05-08,6085,2341.14503845487,0.557945139952753,2343.1,0.442054860047247,2342.0092387071
"1232",2020-05-07,6085,2316.13595440816,0.574880568201793,2316.9,0.425119431798207,2316.46076503603
"1233",2020-05-06,6085,2293.95221155261,0.573252553132539,2279.5,0.426747446867461,2287.78476717094
"1234",2020-05-05,6085,2281.65984714382,0.58674718413114,2251.9,0.41325281586886,2269.36150651181
"1235",2020-05-04,6085,2254.50680016933,0.596510417001038,2219.8,0.403489582998961,2240.50296784178
"1236",2020-05-03,6085,2244.92367103893,0.667906215332456,2261.3,0.332093784667544,2250.36214810257
"1237",2020-05-02,6085,2230.67108174647,0.691074144262235,2260,0.308925855737765,2239.7315429158
"1238",2020-05-01,6085,2213.5578044527,0.612781292832782,2235.7,0.387218707167218,2222.13167678637
"1239",2020-04-30,6085,2172.50302091671,0.452953194552743,2201.2,0.547046805447257,2188.20161165021
"1240",2020-04-29,6085,2154.3177436658,0.375414308420282,2161.7,0.624585691579718,2158.92859534371
"1241",2020-04-28,6085,2125.27061933307,0.408224113362434,2064.8,0.591775886637566,2089.48556496172
"1242",2020-04-27,6085,2087.14738598109,0.423252764487035,1983.3,0.576747235512965,2027.25369320125
"1243",2020-04-26,6085,2079.55954383244,0.467412521844432,1979.9,0.532587478155568,2026.48211870859
"1244",2020-04-25,6085,2081.28466393835,0.522281472383156,1987.4,0.477718527616844,2036.43422051592
"1245",2020-04-24,6085,2076.39038700161,0.55061352926256,2017.6,0.44938647073744,2049.97078247367
"1246",2020-04-23,6085,2068.75601674089,0.619567228960477,2030.6,0.380432771039523,2054.24021756032
"1247",2020-04-22,6085,2066.18417282267,0.731374753407266,2023.3,0.268625246592734,2054.66440132325
"1248",2020-04-21,6085,2036.07331797589,0.775285400008998,2005,0.224714599991002,2029.09068975654
"1249",2020-04-20,6085,2023.84998763947,0.724413614864119,2021.3,0.275586385135881,2023.14724576377
"1250",2020-04-19,6085,2000.77018919218,0.530283747591685,1993.2,0.469716252408315,1997.21434829481
"1251",2020-04-18,6085,1951.30135006712,0.415492668834273,1948.9,0.584507331165727,1949.89774334819
"1252",2020-04-17,6085,1924.78942923974,0.445746486638026,1992.6,0.554253513361974,1962.37367632669
"1253",2020-04-16,6085,1909.83864029376,0.497006852722791,2044,0.502993147277209,1977.32088485539
"1254",2020-04-15,6085,1876.87140580527,0.525557490551548,2037,0.474442509448452,1952.84321786947
"1255",2020-04-14,6085,1790.47047895514,0.508204238098602,1900.9,0.491795761901398,1844.7792493938
"1256",2020-04-13,6085,1726.08070717609,0.560754214834837,1793.8,0.439245785165163,1755.82612112336
"1257",2020-04-12,6085,1651.40381512923,0.661170953297146,1685.8,0.338829046702854,1663.05824165921
"1258",2020-04-11,6085,1608.37562945285,0.624499951852913,1618.7,0.375500048147087,1612.25243109039
"1259",2020-04-10,6085,1555.68723282315,0.503661535681558,1542.5,0.496338464318442,1549.1419019351
"1260",2020-04-09,6085,1520.87835761451,0.414854900483952,1535.1,0.585145099516048,1529.20008196345
"1261",2020-04-08,6085,1496.9310914835,0.394567326712535,1545.5,0.605432673287465,1526.3362956053
"1262",2020-04-07,6085,1458.98820224291,0.415413117891414,1523,0.584586882108586,1496.40865951189
"1263",2020-04-06,6085,1398.07302098123,0.427637345625512,1504,0.572362654374488,1458.70166786228
"1264",2020-04-05,6085,1339.25423019849,0.248120952471095,1405.1,0.751879047528905,1388.76228488066
"1265",2020-04-04,6085,1270.01151314145,0.0889647269217935,1290.6,0.911035273078207,1288.7683508889
"1266",2020-04-03,6085,1182.03145903229,0.0330191569996931,1220.1,0.966980843000307,1218.84300886904
