"","countyFIPS","date","cases","cases_lower","cases_upper","deaths","deaths_lower","deaths_upper"
"51",6075,2020-12-11,18248.1891475107,17797.6680783513,18680.4848280657,166.906218717329,164,169.677984376076
"52",6075,2020-12-12,18203.8417674762,17540.2200029318,18683.630159875,166.833076398788,164,169.605259266578
"53",6075,2020-12-13,18423.1891101791,17754.7798367765,18906.277757636,166.762228760012,164,169.534764816826
"54",6075,2020-12-14,18344.010035787,17682.1344019934,18640.3503630409,166.553391892397,164,169.520217699422
"55",6075,2020-12-15,18336.1964291741,17682.1344019934,18836.5994687804,166.265233313641,164,167.780476264763
"56",6075,2020-12-16,18487.9131704714,17901.3924222467,19035.7969228205,166.550435811951,164,168.925508863229
"57",6081,2020-12-10,16465.9859630574,15934.455757847,16889.7037424167,178.721393426781,176,177.797582640986
"58",6081,2020-12-11,16374.6371547396,15840.2281551308,16801.2337284974,178.893345030623,176,177.96721352498
"59",6081,2020-12-12,17221.1234193822,16542.6447636005,17814.4776442947,179.042775590391,176,178.113706771922
"60",6081,2020-12-13,17672.0628527453,16949.3460544078,18237.9866494672,180.420358412537,177,181.304520743234
"61",6081,2020-12-14,17570.8317515842,16843.000973818,17752.5714652565,180.906851831768,177,181.868410085461
"62",6081,2020-12-15,17595.2032395513,16843.000973818,17986.9693837054,178.094524783301,177,179.628092842806
"63",6081,2020-12-16,17773.4314053036,17296.9526543158,18225.8430434137,178.23335767842,177,180.184370741864
"64",6085,2020-12-10,42037.8699621839,41389.1889046916,42709.3586041983,521.015648556846,506.807170268842,534.948757337422
"65",6085,2020-12-11,43013.0962755046,42363.1784179908,43625.0589270439,520.464739767933,506.26124835456,534.392861673879
"66",6085,2020-12-12,45406.6056446817,44474.9213618222,45847.4670899289,532.852504746387,517.472747928616,544.677464599774
"67",6085,2020-12-13,48609.0793181373,47685.7534646516,49940.1288167882,531.26172519989,516.295245202832,545.306368451071
"68",6085,2020-12-14,48863.2171357132,47757.78961855,50293.4924829427,531.356615001284,515.746799197898,545.383109691102
"69",6085,2020-12-15,49053.432459324,47964.0697566951,50431.0407390334,528.536934670708,515.746799197898,545.07623789498
"70",6085,2020-12-16,49250.5700386696,47927.6875842359,50569.1350656992,525.187097838148,515.746799197898,532.722536644843
"71",6095,2020-12-10,12409.9513630067,11787.2937957496,12697.7369456009,87.5935283827743,85,86.9884306646728
"72",6095,2020-12-11,12468.3695758863,11847.7092512211,12754.1579158885,87.5764628368144,85,86.8335949014882
"73",6095,2020-12-12,12632.1989098084,12149.1817081244,13084.2989763162,87.4428112292112,85,86.8308487051906
"74",6095,2020-12-13,12591.5000018219,12096.2932729339,13081.3244951057,87.3877735124246,85,86.7735984133174
"75",6095,2020-12-14,12546.1686231878,12096.2932729339,13119.9898716826,87.6722640798896,85,86.7735984133174
"76",6095,2020-12-15,12525.5527384441,12096.2932729339,13140.3452180465,88.0727866022437,85,89.1378808925283
"77",6095,2020-12-16,12396.8413212582,12096.2932729339,12604.4647683031,85.7085041230328,85,86.7735984133174
"78",6097,2020-12-10,13870.2847517657,13513.04972941,13981.9385314723,162.581254287047,160,163.911904504096
"79",6097,2020-12-11,13979.3358418189,13733.2007929401,14065.01473835,162.451066507789,160,163.781012014651
"80",6097,2020-12-12,13912.9031480297,13559.29796425,14035.7686910299,162.328719825126,160,163.657803594656
"81",6097,2020-12-13,13847.3829040186,13497.7650958571,14012.9987544943,162.214938498754,160,163.542883950102
"82",6097,2020-12-14,13712.3320949745,13497.7650958571,13932.2801714701,161.30680158633,160,163.542883950102
"83",6097,2020-12-15,13684.3188722728,13497.7650958571,13865.9922943523,161.30680158633,160,163.542883950102
"84",6097,2020-12-16,13711.6790743262,13497.7650958571,13907.4592592333,161.30680158633,160,163.542883950102
"85",6099,2020-12-10,25295.7280707925,24813.5044466521,25951.455563524,449.468655797561,445.947319065301,454.960336105179
"86",6099,2020-12-11,25653.3450202128,25151.101252159,26255.5427059786,454.27003516695,449.584737435409,458.600433306525
"87",6099,2020-12-12,26096.1683069347,25621.7720319005,26554.7389833285,459.607419040667,454.652899255232,463.26140858946
"88",6099,2020-12-13,26508.4082293671,26031.7409120412,26935.5839280798,465.254058369251,461.636753262807,470.166357921642
"89",6099,2020-12-14,26563.2116379032,26077.0396607822,26938.1761292254,465.774873169946,461.683404593918,470.664164460903
"90",6099,2020-12-15,26624.6882908854,26199.8851829434,26989.7433600912,465.931533862055,461.671741107542,470.68446559614
"91",6099,2020-12-16,26605.9971820441,26169.093949246,27033.6374117435,466.181722074964,461.660078056906,470.704768037855
"92",6107,2020-12-10,23560.6324821207,22804.3393542603,24181.1077253509,322.83795099906,317,327.491138256702
"93",6107,2020-12-11,23578.4665811734,22822.0280826198,24199.0871950967,322.787687448909,317,327.440471323171
"94",6107,2020-12-12,24190.5320378374,23389.9178903654,24868.3653300847,321.108842338117,317,326.779797443061
"95",6107,2020-12-13,25480.5389968613,24516.11159801,26042.1066864139,324.058120357276,319,329.505829560998
"96",6107,2020-12-14,25413.170116688,24341.321985333,26043.9605568188,323.584878938966,319,329.477282935045
"97",6107,2020-12-15,25409.9410739417,24341.321985333,26243.6439760608,323.489358095979,319,329.484419250635
"98",6107,2020-12-16,25417.7503614014,24341.321985333,26445.5519278808,322.653543609549,319,326.130700450087
