"","date","county","arima.pred","arima.w","ma.pred","ma.w","clep"
"236",2020-08-17,6041,5973.30115735189,0.989512111896215,5882.69339959385,0.0104878881037849,5972.35087332719
"237",2020-08-17,6047,6854.67083394306,0.261043123016319,7575.30891916597,0.738956876983681,7387.19130283488
"238",2020-08-17,6055,1214.89701906108,0.624769661160138,1250.17440122254,0.375230338839862,1228.13416312291
"239",2020-08-18,6085,14746.2135278902,0.177005845576344,14994.3784325324,0.822994154423656,14950.4517937439
"240",2020-08-18,6081,7125.51315762009,0.367406185617213,7234.15403629364,0.632593814382787,7194.23870545808
"241",2020-08-18,6097,4229.59534168312,0.696045553105236,4407.928994912,0.303954446894764,4283.80064861303
"242",2020-08-18,6001,15523.9427354754,0.642769432876306,15973.8620794302,0.357230567123694,15684.6676778763
"243",2020-08-18,6013,12294.8880678716,0.402196516322031,12143.6965859414,0.597803483677969,12204.5052732713
"244",2020-08-18,6075,8479.90098234651,0.600254225922377,8498.64104108756,0.399745774077623,8487.39224163421
"245",2020-08-18,6039,3174.70831052737,0.391019280598657,3375.92307017544,0.608980719401343,3297.24421961202
"246",2020-08-18,6019,20131.8500846523,0.775949033728195,20325.0588064882,0.224050966271805,20175.1386854718
"247",2020-08-18,6095,4934.9108579178,0.466584371460568,4999.49209583982,0.533415628539432,4969.35949953583
"248",2020-08-18,6099,12931.1759176645,0.783358422783912,13650.2969580202,0.216641577216088,13086.9674340564
"249",2020-08-18,6107,12701.6845226704,0.308267888193308,13075.4468325322,0.691732111806692,12960.2279145848
"250",2020-08-18,6041,6060.81663935919,0.960058469514828,5989.55453887932,0.0399415304851715,6057.97032200043
"251",2020-08-18,6047,7703.11822875544,0.190511928819985,8174.7318184708,0.809488071180015,8084.88380383641
"252",2020-08-18,6055,1257.6462323501,0.549929911155448,1286.80676779021,0.450070088844552,1270.77051712638
"253",2020-08-19,6085,15478.3968805112,0.329911280875529,15863.6013682391,0.670088719124471,15736.5180622938
"254",2020-08-19,6081,7323.77242106663,0.346292798452185,7462.77532211575,0.653707201547815,7414.63961851848
"255",2020-08-19,6097,4518.16628089701,0.688136200908818,4587.44941350543,0.311863799091182,4539.77318184521
"256",2020-08-19,6001,15867.7121537478,0.0276576393693379,16608.6590731,0.972342360630662,16588.1662304127
"257",2020-08-19,6013,12184.494133023,0.316107002386488,12456.0966254161,0.683892997613512,12370.241175705
"258",2020-08-19,6075,8590.19716238043,0.575873713519933,8616.23891114724,0.424126286480067,8601.24215257835
"259",2020-08-19,6039,3313.46127687857,0.33950031133563,3482.57038080139,0.66049968866437,3425.15778736991
"260",2020-08-19,6019,20682.8152985633,0.501795650091489,20841.1908030189,0.498204349908511,20761.718663802
"261",2020-08-19,6095,5033.7795538572,0.554171466101601,5053.65004683406,0.445828533898399,5042.63838660891
"262",2020-08-19,6099,13215.1580386249,0.785351439046106,14028.9961622496,0.214648560953894,13389.8472207104
"263",2020-08-19,6107,12923.5896488451,0.301404592228559,13436.4734572769,0.698595407771441,13281.8879221359
"264",2020-08-19,6041,6090.48734920021,0.925649780003922,6029.04718505288,0.0743502199960779,6085.91925947926
"265",2020-08-19,6047,7936.48233723791,0.139556825899645,8447.23015319262,0.860443174100355,8375.95180916281
"266",2020-08-19,6055,1307.87713316576,0.481474438796255,1335.98569406161,0.518525561203745,1322.45214047891
"267",2020-08-20,6085,15733.1446147692,0.17343376825627,16343.1452523317,0.82656623174373,16237.3505431205
"268",2020-08-20,6081,7521.95474170899,0.350732134112298,7625.26939468157,0.649267865887702,7589.03362595942
"269",2020-08-20,6097,4629.93301336317,0.579141442860883,4650.2345768894,0.420858557139117,4638.47710009649
"270",2020-08-20,6001,15780.6095039972,0.0306751009932496,16608.6590731,0.96932489900675,16583.2585689404
"271",2020-08-20,6013,12402.1468092898,0.229782025258868,12700.5959394197,0.770217974741133,12632.0176938617
"272",2020-08-20,6075,8691.74990750572,0.593943899346866,8717.9560565542,0.406056100653134,8702.39107420148
